authorId:ID(Authors),name,:LABEL
384,Andreas Schaller,Autor
385,Siegfried Pongratz,Autor
386,Alexander Pflaum,Autor
387,Jrgen Hupp,Autor
388,Rainer Steffen,Autor
389,Markus Augel,Autor
390,Gerd vom Bgel,Autor
391,Jos Fransen,Autor
392,Gerhard Timme,Autor
393,Simon Japs,Autor
394,Gerd Wolfram,Autor
395,Markus Krger,Autor
396,Michael Bckle,Autor
397,Heinz-Georg Pater,Autor
398,Patricia Seidl,Autor
399,Frank Kuhlmann,Autor
400,Dirk Masuhr,Autor
401,Oliver Koch,Autor
402,Wolfgang Deiters,Autor
403,Gudrun Quandel,Autor
404,Max Larsson,Autor
405,Stephan Vollmer,Autor
406,Heinz-Paul Bonn,Autor
407,Bernd Holznagel,Autor
408,Mareike Bonnekoh,Autor
409,Christian Rybak,Autor
410,Manuel Httl,Autor
411,Andreas Trautmann,Autor
412,Simon Harding,Autor
413,Julian F. Miller,Autor
414,Giovanna Di Marzo Serugendo,Autor
415,Marie Pierre Gleizes,Autor
416,Anthony Karageorgos,Autor
417,Martin A. Trefzer,Autor
418,Erol Sahin,Autor
419,Sertan Girgin,Autor
420,Levent Bayindir,Autor
421,Ali Emre Turgut,Autor
422,Xinyu Niu,Autor
423,Tim Todman,Autor
424,Wayne Luk,Autor
425,Garrison W. Greenwood,Autor
426,Andy M. Tyrrell,Autor
427,Darrell Whitley,Autor
428,Jonathan Rowe,Autor
429,Peter R. Lewis,Autor
430,Marco Platzner,Autor
431,Bernhard Rinner,Autor
432,Jim Trresen,Autor
433,Xin Yao,Autor
434,Olivier Teytaud,Autor
435,Emmanuel Vzquez,Autor
436,Michael A. Lones,Autor
437,Stephen L. Smith,Autor
438,Luks Sekanina,Autor
439,James Alfred Walker,Autor
440,Paul Kaufmann,Autor
441,Deepak Sharma,Autor
442,Pierre Collet,Autor
443,Thomas Jansen,Autor
444,Martn Pedemonte,Autor
445,Francisco Luna,Autor
446,Enrique Alba,Autor
447,Tao Chen,Autor
448,Funmilade Faniyi,Autor
449,Rami Bahsoon,Autor
450,Tim Blackwell,Autor
451,Jrgen Branke,Autor
452,Xiaodong Li,Autor
453,Steven Solomon,Autor
454,Parimala Thulasiraman,Autor
455,Ruppa K. Thulasiram,Autor
456,Nikolaus Hansen,Autor
457,Anne Auger,Autor
458,Pavel Krmer,Autor
459,Jan Platos,Autor
460,Vclav Snsel,Autor
461,Ajith Abraham,Autor
462,Asim Munawar,Autor
463,Mohamed Wahib,Autor
464,Masaharu Munetomo,Autor
465,Kiyoshi Akama,Autor
466,Daniel Merkle,Autor
467,Martin Middendorf,Autor
468,Alexander Scheidler,Autor
469,Konstantin Klemm,Autor
470,Peter F. Stadler,Autor
471,Pierre Glize,Autor
472,Gauthier Picard,Autor
473,Jennifer Simonjan,Autor
474,Bernhard Dieber,Autor
475,Shigeyoshi Tsutsui,Autor
476,Noriyuki Fujimoto,Autor
477,Arjun Chandra,Autor
478,Kyrre Glette,Autor
479,Alan F. T. Winfield,Autor
480,Jon Timmis,Autor
481,Christian Igel,Autor
482,James A. Walker,Autor
483,Carole Bernon,Autor
484,Frdric Migeon,Autor
485,Frdric Krger,Autor
486,Ogier Maitre,Autor
487,Santiago Jimnez,Autor
488,Laurent A. Baumes,Autor
489,Simon L. Harding,Autor
490,Wolfgang Banzhaf,Autor
491,Taras Kowaliw,Autor
492,Yuji Sato,Autor
493,Naohiro Hasegawa,Autor
494,Mikiko Sato,Autor
495,Valrie Camps,Autor
496,Christine Bourjot,Autor
497,Didier Desor,Autor
498,Vincent Chevrier,Autor
499,Pauline C. Haddow,Autor
500,Thomas Bartz-Beielstein,Autor
501,Mike Preuss,Autor
502,Martin Simonsen,Autor
503,Mikael H. Christensen,Autor
504,Ren Thomsen,Autor
505,Christian N. S. Pedersen,Autor
506,Jean-Marc Seigneur,Autor
507,Pierpaolo Dondio,Autor
508,Fabien Teytaud,Autor
509,Muddassar Farooq,Autor
510,Gianni A. Di Caro,Autor
511,William B. Langdon,Autor
512,Kristian Nymoen,Autor
513,Marc Toussaint,Autor
514,Shuo Wang,Autor
515,Georg Nebehay,Autor
516,Lukas Esterle,Autor
517,Leandro L. Minku,Autor
518,Renzhi Chen,Autor
519,Jean-Pierre Georg,Autor
520,Steve DiPaola,Autor
521,Nathan Sorenson,Autor
522,Zdenek Vascek,Autor
523,Roman P. Pflugfelder,Autor
524,Gustavo Fernndez Domnguez,Autor
525,Paul Marrow,Autor
526,Jean-Pierre Mano,Autor
527,Vincent Hilaire,Autor
528,Abderrafiaa Koukam,Autor
529,Sebastian Rodriguez,Autor
530,Man Leung Wong,Autor
531,Geng Cui,Autor
532,Andreas Agne,Autor
533,Markus Happe,Autor
534,Achim Lsch,Autor
535,Christian Plessl,Autor
536,Matteo Casadei,Autor
537,Marco Mamei,Autor
538,Cynthia Villalba,Autor
539,Mirko Viroli,Autor
540,Franco Zambonelli,Autor
541,Christian Blum 0001,Autor
542,Riccardo Poli,Autor
543,Nicholas Freitag McPhee,Autor
544,Stephan C. Stilkerich,Autor
545,Maciej Kurek,Autor
546,Tobias Becker,Autor
547,Ce Guo,Autor
548,Stewart Denholm,Autor
549,Andreea-Ingrid Funie,Autor
550,Mark Salmon,Autor
551,Snaider Carrillo,Autor
552,Jim Harkin,Autor
553,Liam McDaid,Autor
554,Vincent Thomas,Autor
555,Patrick D. Surry,Autor
556,Nicholas J. Radcliffe,Autor
557,Mrk Jelasity,Autor
558,Lidia Yamamoto,Autor
