:START_ID(Authors),:END_ID(Pubs),:TYPE
196,338,Autoria
197,338,Autoria
196,339,Autoria
203,339,Autoria
199,340,Autoria
200,340,Autoria
265,340,Autoria
266,341,Autoria
196,341,Autoria
198,342,Autoria
211,343,Autoria
194,344,Autoria
198,345,Autoria
191,346,Autoria
267,346,Autoria
268,347,Autoria
218,347,Autoria
206,348,Autoria
221,349,Autoria
269,350,Autoria
270,350,Autoria
271,351,Autoria
199,352,Autoria
200,352,Autoria
199,353,Autoria
200,353,Autoria
254,354,Autoria
272,355,Autoria
254,357,Autoria
270,358,Autoria
273,359,Autoria
194,359,Autoria
274,359,Autoria
275,360,Autoria
222,361,Autoria
276,361,Autoria
243,361,Autoria
237,362,Autoria
259,363,Autoria
277,363,Autoria
260,363,Autoria
278,363,Autoria
210,364,Autoria
209,364,Autoria
279,365,Autoria
217,366,Autoria
218,366,Autoria
280,367,Autoria
222,367,Autoria
281,368,Autoria
199,368,Autoria
282,369,Autoria
283,369,Autoria
284,369,Autoria
285,369,Autoria
196,370,Autoria
220,370,Autoria
198,371,Autoria
191,372,Autoria
196,373,Autoria
251,373,Autoria
252,373,Autoria
201,374,Autoria
237,375,Autoria
213,376,Autoria
286,376,Autoria
287,376,Autoria
288,377,Autoria
213,377,Autoria
289,378,Autoria
210,379,Autoria
209,379,Autoria
290,380,Autoria
291,380,Autoria
198,381,Autoria
292,382,Autoria
293,382,Autoria
196,382,Autoria
202,382,Autoria
197,382,Autoria
220,382,Autoria
266,383,Autoria
196,383,Autoria
199,384,Autoria
290,384,Autoria
294,385,Autoria
262,385,Autoria
295,386,Autoria
296,386,Autoria
248,386,Autoria
249,387,Autoria
297,388,Autoria
196,388,Autoria
298,389,Autoria
223,389,Autoria
299,390,Autoria
196,391,Autoria
252,392,Autoria
196,392,Autoria
300,393,Autoria
206,393,Autoria
301,393,Autoria
211,394,Autoria
302,394,Autoria
303,395,Autoria
213,395,Autoria
237,396,Autoria
191,397,Autoria
196,398,Autoria
202,398,Autoria
203,398,Autoria
206,399,Autoria
304,399,Autoria
305,400,Autoria
202,400,Autoria
287,401,Autoria
222,402,Autoria
243,402,Autoria
223,402,Autoria
192,403,Autoria
194,404,Autoria
211,405,Autoria
306,406,Autoria
307,406,Autoria
194,407,Autoria
207,408,Autoria
308,409,Autoria
207,409,Autoria
309,410,Autoria
206,410,Autoria
196,411,Autoria
202,411,Autoria
222,412,Autoria
207,413,Autoria
213,413,Autoria
196,414,Autoria
220,414,Autoria
221,415,Autoria
272,416,Autoria
194,417,Autoria
238,418,Autoria
196,418,Autoria
209,419,Autoria
210,419,Autoria
275,419,Autoria
310,419,Autoria
194,420,Autoria
208,421,Autoria
209,421,Autoria
206,422,Autoria
287,423,Autoria
213,423,Autoria
311,424,Autoria
312,424,Autoria
208,425,Autoria
238,426,Autoria
196,426,Autoria
196,427,Autoria
202,427,Autoria
196,428,Autoria
202,428,Autoria
191,429,Autoria
313,429,Autoria
249,430,Autoria
223,431,Autoria
254,432,Autoria
279,433,Autoria
314,433,Autoria
210,434,Autoria
209,434,Autoria
196,435,Autoria
203,435,Autoria
315,436,Autoria
196,436,Autoria
316,437,Autoria
218,437,Autoria
317,438,Autoria
218,438,Autoria
318,439,Autoria
291,439,Autoria
279,440,Autoria
314,440,Autoria
220,441,Autoria
319,441,Autoria
320,442,Autoria
237,443,Autoria
198,444,Autoria
241,445,Autoria
196,446,Autoria
202,446,Autoria
220,446,Autoria
321,446,Autoria
322,447,Autoria
241,448,Autoria
196,449,Autoria
197,449,Autoria
210,450,Autoria
209,450,Autoria
194,451,Autoria
211,452,Autoria
218,452,Autoria
323,453,Autoria
324,453,Autoria
191,454,Autoria
325,454,Autoria
196,454,Autoria
256,454,Autoria
299,455,Autoria
213,456,Autoria
326,456,Autoria
194,457,Autoria
199,458,Autoria
200,458,Autoria
327,459,Autoria
207,460,Autoria
213,460,Autoria
302,461,Autoria
218,461,Autoria
195,462,Autoria
196,462,Autoria
197,462,Autoria
196,463,Autoria
328,463,Autoria
197,463,Autoria
205,464,Autoria
237,465,Autoria
288,466,Autoria
234,467,Autoria
329,468,Autoria
191,468,Autoria
330,468,Autoria
207,469,Autoria
213,469,Autoria
331,469,Autoria
295,470,Autoria
248,470,Autoria
219,471,Autoria
222,472,Autoria
276,472,Autoria
223,472,Autoria
206,473,Autoria
301,473,Autoria
237,474,Autoria
199,475,Autoria
200,475,Autoria
332,475,Autoria
261,476,Autoria
198,477,Autoria
309,478,Autoria
206,478,Autoria
196,479,Autoria
202,479,Autoria
311,480,Autoria
333,480,Autoria
312,480,Autoria
334,481,Autoria
241,481,Autoria
198,482,Autoria
335,482,Autoria
249,483,Autoria
213,484,Autoria
326,484,Autoria
336,485,Autoria
199,485,Autoria
200,485,Autoria
206,486,Autoria
210,487,Autoria
209,487,Autoria
241,488,Autoria
195,489,Autoria
196,489,Autoria
191,490,Autoria
313,490,Autoria
337,490,Autoria
207,491,Autoria
199,492,Autoria
200,492,Autoria
306,493,Autoria
307,493,Autoria
199,494,Autoria
200,494,Autoria
196,495,Autoria
197,495,Autoria
338,495,Autoria
196,496,Autoria
220,496,Autoria
339,497,Autoria
194,497,Autoria
211,498,Autoria
302,498,Autoria
269,499,Autoria
270,499,Autoria
340,500,Autoria
196,501,Autoria
256,501,Autoria
198,502,Autoria
195,503,Autoria
238,503,Autoria
196,503,Autoria
197,503,Autoria
336,504,Autoria
199,504,Autoria
196,505,Autoria
202,505,Autoria
341,506,Autoria
311,506,Autoria
342,507,Autoria
196,508,Autoria
252,508,Autoria
269,509,Autoria
270,509,Autoria
343,510,Autoria
261,511,Autoria
194,512,Autoria
344,513,Autoria
196,514,Autoria
321,514,Autoria
202,515,Autoria
305,515,Autoria
196,515,Autoria
327,516,Autoria
206,517,Autoria
231,517,Autoria
301,517,Autoria
318,518,Autoria
291,518,Autoria
210,519,Autoria
209,519,Autoria
326,520,Autoria
213,520,Autoria
279,521,Autoria
345,521,Autoria
346,521,Autoria
314,521,Autoria
206,522,Autoria
196,523,Autoria
252,523,Autoria
194,524,Autoria
198,525,Autoria
191,526,Autoria
208,527,Autoria
279,528,Autoria
314,528,Autoria
194,529,Autoria
197,530,Autoria
196,530,Autoria
198,531,Autoria
347,531,Autoria
273,532,Autoria
194,532,Autoria
274,532,Autoria
348,533,Autoria
322,533,Autoria
206,534,Autoria
198,535,Autoria
347,535,Autoria
199,536,Autoria
200,536,Autoria
349,536,Autoria
350,537,Autoria
223,538,Autoria
194,539,Autoria
351,539,Autoria
196,540,Autoria
197,540,Autoria
195,541,Autoria
196,541,Autoria
197,541,Autoria
204,542,Autoria
199,542,Autoria
206,543,Autoria
196,544,Autoria
202,544,Autoria
321,544,Autoria
352,545,Autoria
353,545,Autoria
354,546,Autoria
355,546,Autoria
356,546,Autoria
357,546,Autoria
358,547,Autoria
352,548,Autoria
355,549,Autoria
356,549,Autoria
354,549,Autoria
359,550,Autoria
360,550,Autoria
361,550,Autoria
362,550,Autoria
363,550,Autoria
364,551,Autoria
365,551,Autoria
366,552,Autoria
367,552,Autoria
368,552,Autoria
369,553,Autoria
370,553,Autoria
371,553,Autoria
372,554,Autoria
373,554,Autoria
374,555,Autoria
375,556,Autoria
376,556,Autoria
377,556,Autoria
378,557,Autoria
379,558,Autoria
380,558,Autoria
381,559,Autoria
382,559,Autoria
383,560,Autoria
384,560,Autoria
385,560,Autoria
386,561,Autoria
387,561,Autoria
388,562,Autoria
389,562,Autoria
390,563,Autoria
391,564,Autoria
392,564,Autoria
393,565,Autoria
394,566,Autoria
395,567,Autoria
396,567,Autoria
397,568,Autoria
398,568,Autoria
399,569,Autoria
400,569,Autoria
401,570,Autoria
402,570,Autoria
403,571,Autoria
404,572,Autoria
405,572,Autoria
406,573,Autoria
407,574,Autoria
408,574,Autoria
409,575,Autoria
410,576,Autoria
411,577,Autoria
412,578,Autoria
413,578,Autoria
414,579,Autoria
415,579,Autoria
416,579,Autoria
414,580,Autoria
415,580,Autoria
416,580,Autoria
417,581,Autoria
418,582,Autoria
419,582,Autoria
420,582,Autoria
421,582,Autoria
422,583,Autoria
423,583,Autoria
424,583,Autoria
425,584,Autoria
426,584,Autoria
427,585,Autoria
428,585,Autoria
429,586,Autoria
430,586,Autoria
431,586,Autoria
432,586,Autoria
433,586,Autoria
414,587,Autoria
415,587,Autoria
416,587,Autoria
434,588,Autoria
435,588,Autoria
436,589,Autoria
437,589,Autoria
413,590,Autoria
438,591,Autoria
439,591,Autoria
440,591,Autoria
430,591,Autoria
441,592,Autoria
442,592,Autoria
443,593,Autoria
442,594,Autoria
444,595,Autoria
445,595,Autoria
446,595,Autoria
447,596,Autoria
448,596,Autoria
449,596,Autoria
450,597,Autoria
451,597,Autoria
452,597,Autoria
453,598,Autoria
454,598,Autoria
455,598,Autoria
456,599,Autoria
457,599,Autoria
458,600,Autoria
459,600,Autoria
460,600,Autoria
461,600,Autoria
462,601,Autoria
463,601,Autoria
464,601,Autoria
465,601,Autoria
466,602,Autoria
467,602,Autoria
468,602,Autoria
469,603,Autoria
470,603,Autoria
471,604,Autoria
472,604,Autoria
473,605,Autoria
474,605,Autoria
431,605,Autoria
475,606,Autoria
476,606,Autoria
429,607,Autoria
477,607,Autoria
478,607,Autoria
479,608,Autoria
480,608,Autoria
481,609,Autoria
482,610,Autoria
483,611,Autoria
415,611,Autoria
484,611,Autoria
414,611,Autoria
485,612,Autoria
486,612,Autoria
487,612,Autoria
488,612,Autoria
442,612,Autoria
438,613,Autoria
489,613,Autoria
490,613,Autoria
491,613,Autoria
492,614,Autoria
493,614,Autoria
494,614,Autoria
415,615,Autoria
495,615,Autoria
416,615,Autoria
414,615,Autoria
496,616,Autoria
497,616,Autoria
498,616,Autoria
489,617,Autoria
490,617,Autoria
489,618,Autoria
413,618,Autoria
490,618,Autoria
499,619,Autoria
500,620,Autoria
501,620,Autoria
502,621,Autoria
503,621,Autoria
504,621,Autoria
505,621,Autoria
506,622,Autoria
507,622,Autoria
442,623,Autoria
485,623,Autoria
486,623,Autoria
426,624,Autoria
414,625,Autoria
415,625,Autoria
416,625,Autoria
508,626,Autoria
