pubId:ID(Pubs),Title,Year,Tipo,:LABEL
109,Feature Constraint Logics for Unification Grammars,1989,article,Pub
110,Modelling Spatial Knowledge on a Linguistic Basis,1990,article,Pub
111,Koordination von nichtverbalen Satzkonstituenten,1989,article,Pub
112,Datenbankuntersttzung fr wissensbasierte Systeme,1987,article,Pub
113,A Conceptual Model for Time,1986,article,Pub
114,An Algebraic Characterization of STUF,1988,article,Pub
115,An Order Sorted Predicate Logic with Closely Coupled Taxonomic Information,1989,article,Pub
116,Zur Verarbeitung von Lokalisierungsausdrcken in einem hybriden System,1992,article,Pub
117,Variable Subkategorisierung: Eine Theorie unpersnlicher Einbettungen im Deutschen,1991,article,Pub
118,Mathematische Grundlagen der formalen Linguistik - Ein Kompendium,1990,article,Pub
119,Slide Search.,1978,article,Pub
120,Integration von Constraints in die L,1989,article,Pub
121,Implementation Aspects of a Natural Language Understanding System in a Prolog/DB Environment,1986,article,Pub
122,Database Snapshots.,1980,article,Pub
123,An Environment for Experimentation with Parsing Strategies,1991,article,Pub
124,The Algebra of Feature Graph Specifications,1989,article,Pub
125,WebS - ein System zur Generierung von Wegbeschreibungen,1988,article,Pub
126,Verarbeitung natrlicher Sprache,1989,article,Pub
127,Ein Beispiel zur wissensbasierten Produktionsplanung mit PROTOS-L.,1991,article,Pub
128,Gebietskonstituierende Prozesse,1988,article,Pub
129,Representation and Reasoning with Attributive Descriptions,1989,article,Pub
130,Index Path Length Evaluation for the Research Storage System of System R.,1980,article,Pub
131,Mathematische Grundlagen der formalen Linguistik - Ein Kompendium,1991,article,Pub
132,Development and Programming of Deductive Databases with PROTOS-L,1990,article,Pub
133,Representation and Accessibility of Discourse Referents,1987,article,Pub
134,"Projekt ""Elektronische Wrterbcher/Lexika"": Abschlubericht der Definitionsphase",1990,article,Pub
135,On Subsumption and Semiunifaction in Feature Algebras,1989,article,Pub
136,Zur intelligenten Organisation von Wissensbestnden in knstlichen Systemen,1989,article,Pub
137,Resolution with Feature Unification,1988,article,Pub
138,The Many-Valued Theorem Prover ,1992,article,Pub
139,"A Logical Operational Semantics of Full Prolog Part III: Built-in Predicates for Files, Terms, Arithmetic and Input-Output",1990,article,Pub
140,Wissensbasisverwaltung fr LILOG,1988,article,Pub
141,EFTA: A Database Retrieval Algebra for Feature Terms,1991,article,Pub
142,Ein Lernverfahren fr den automatischen Erwerb von Kontrollwissen,1992,article,Pub
143,An Order-Sorted Logic for Knowledge Representation Systems,1990,article,Pub
144,Results on Non-Monotonic Logics.,1992,article,Pub
145,Sort Processing in a Deductive Database System,1991,article,Pub
146,"Zum Begriff ""Argumentstruktur"" im Rahmen generativer worbildungstheoretischer Anstze",1988,article,Pub
147,Integration eines deduktiven Datenbanksystems in eine Logikprogrammiersprache,1991,article,Pub
148,Stepwise Software Development with Algebraic Specifications,1990,article,Pub
149,Die Reprsentation rumlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen,1991,article,Pub
150,Interaktion von propositionalen und bildhaften Reprsentationen,1990,article,Pub
151,Weiterentwicklung des Earley-Algorithmus fr kontextfreie und ID/LP-Grammatiken,1987,article,Pub
152,Das Projekt EXCEPT: Expert-System for Computer-Aided Environmental Planning Tasks,1990,article,Pub
153,"On the Interpretation of Equality, Sorts, and Logic Programming",1987,article,Pub
154,Differential Closure Computation for General Horn-Clause Queries,1991,article,Pub
155,Vertrglichkeitsprfungen fr die Verarbeitung rumlichen Wissens,1988,article,Pub
156,A Logical Operational Semantics of Full Prolog,1990,article,Pub
157,"Wissensbasierte Systeme in der Medizin: GMDS/GI, Abstracts des 1. gemeinsamen Workshops der AG Expertensysteme der GMDS und der FG Diagnostik und Klassifikation im GI-Fachausschu 1.5, 29.-30. Mrz 1990, Heidelberg",1990,article,Pub
158,Zur Syntax prnominaler Elemente in einer kategorialen Unifikationsgrammatik des Deutschen,1989,article,Pub
159,A Calculus for Order-Sorted Predicate Logic with Sort Literals,1989,article,Pub
160,An Overview on Planning Applications in PROTOS-L,1991,article,Pub
161,A WAM Extension for Type-Constraint Logic Programming: Specification and Correctness Proof,1991,article,Pub
162,An Approach to Manage Large Inheritance Networks,1987,article,Pub
163,Zur Systemarchitektur von LILOG,1987,article,Pub
164,Ein Fact Manager zur persistenten Speicherung variabel strukturierter komplexer Objekte,1988,article,Pub
